n,rank,slack_weighted_nats,slack_constant_nats,slack_hadamard_nats,floor_holds
12,1,0.610668,11.447608,20.198762,True
12,2,21.499740,31.884694,35.824783,True
12,4,48.939545,57.645728,57.593866,True
12,8,60.893102,65.987367,62.777195,True
16,1,0.632945,16.950750,30.900385,True
16,2,27.593326,43.400305,50.124213,True
16,4,54.838731,69.478104,70.136751,True
16,8,101.633048,111.248840,106.978278,True
20,1,0.646020,22.593269,42.263211,True
20,2,16.839058,38.144453,48.082847,True
20,4,60.036037,80.172837,81.827834,True
20,8,96.670886,112.022237,106.864456,True
24,1,0.654611,28.327039,54.130376,True
24,2,22.379286,49.401126,62.912596,True
24,4,67.808177,93.580713,96.486045,True
24,8,121.674345,142.168934,136.280034,True
32,1,0.665201,39.974183,79.020295,True
32,2,33.651423,72.299006,93.834762,True
32,4,75.977029,113.054955,119.132420,True
32,8,139.186956,170.742880,163.815240,True
40,1,0.671467,51.779895,105.095776,True
40,2,45.074099,95.514698,126.022904,True
40,4,84.321959,133.172007,143.197973,True
40,8,156.223800,201.344729,193.892124,True
48,1,0.675603,63.692089,132.093450,True
48,2,37.360920,99.662753,139.910893,True
48,4,95.277956,156.017877,170.654962,True
48,8,170.497984,227.786764,220.277533,True
56,1,0.678534,75.681872,159.845595,True
56,2,48.557241,122.849084,173.481482,True
56,4,117.607126,190.320927,210.143448,True
56,8,185.606607,254.839260,247.704589,True
64,1,0.680717,87.731352,188.236010,True
64,2,59.843780,146.185267,207.757045,True
64,4,109.938464,194.572934,220.086065,True
64,8,200.441963,281.689608,275.327905,True
