kind,format,ambient_dimension,n,decision,certified,certified_log_margin_nats
format_length,float16,8,65,admitted,True,2.590858e-01
format_length,float16,8,66,excluded,True,4.708246e+00
format_length,float16,32,262,admitted,True,3.173773e+00
format_length,float16,32,263,excluded,True,2.014864e+00
format_length,float16,64,531,admitted,True,1.454499e-02
format_length,float16,64,532,excluded,True,5.280867e+00
format_length,float16,128,1075,admitted,True,4.723854e+00
format_length,float16,128,1076,excluded,True,6.687900e-01
format_length,bfloat16,8,268,admitted,True,3.263440e+00
format_length,bfloat16,8,269,excluded,True,3.521654e+00
format_length,bfloat16,32,1053,admitted,True,5.642999e+00
format_length,bfloat16,32,1054,excluded,True,1.290450e+00
format_length,bfloat16,64,2093,admitted,True,6.179602e+00
format_length,bfloat16,64,2094,excluded,True,8.212355e-01
format_length,bfloat16,128,4165,admitted,True,5.045551e+00
format_length,bfloat16,128,4166,excluded,True,2.018794e+00
format_length,float32,8,268,admitted,True,3.326061e+00
format_length,float32,8,269,excluded,True,3.459033e+00
format_length,float32,32,1053,admitted,True,5.893484e+00
format_length,float32,32,1054,excluded,True,1.039964e+00
format_length,float32,64,2093,admitted,True,6.680573e+00
format_length,float32,64,2094,excluded,True,3.202640e-01
format_length,float32,128,4165,admitted,True,6.047494e+00
format_length,float32,128,4166,excluded,True,1.016851e+00
ambient_dimension,float16,934,8192,excluded,True,2.365091e+00
ambient_dimension,float16,935,8192,admitted,True,4.829268e+01
ambient_dimension,bfloat16,252,8192,excluded,True,1.793081e+02
ambient_dimension,bfloat16,253,8192,admitted,True,5.028239e+01
ambient_dimension,float32,252,8192,excluded,True,1.773355e+02
ambient_dimension,float32,253,8192,admitted,True,5.226279e+01
anchor,-,128,8192,logB>=418.72,True,1.612711e-01
