kind,format,log_F,n,p,ambient_dimension,factor_log_ceiling,last_admitted_n,last_admitted_log_lower,last_admitted_slack,first_excluded_n,first_excluded_log_lower,first_excluded_overshoot,last_excluded_dimension,last_excluded_log_lower,last_excluded_margin,first_admitted_dimension,first_admitted_log_lower,first_admitted_slack
format_length,float16,11.089866488461016,,2.0,8,24.952321699161814,65,24.919935978112505,0.03238572104930881,66,25.540852419297263,0.5885307201354486,,,,,,
format_length,float16,11.089866488461016,,2.0,32,26.338616060281705,262,26.23943565988273,0.09918040039897491,263,26.401580550923867,0.06296449064216247,,,,,,
format_length,float16,11.089866488461016,,2.0,64,27.03176324084165,531,27.03153597539729,0.000227265444358693,532,27.114276789509894,0.08251354866824556,,,,,,
format_length,float16,11.089866488461016,,2.0,128,27.724910421401596,1075,27.68800531079267,0.036905110608927316,1076,27.730135343108838,0.005224921707242203,,,,,,
ambient_dimension,float16,11.089866488461016,8192,2.0,,,,,,,,,934,29.7148888130047,0.0025322172938757603,935,29.66177676566485,0.05164992110581679
format_length,bfloat16,88.71892521235186,,2.0,8,180.21043914694351,268,179.8025091693397,0.4079299776038283,269,180.65064590939733,0.44020676245381196,,,,,,
format_length,bfloat16,88.71892521235186,,2.0,32,181.5967335080634,1053,181.42038979838495,0.1763437096784628,1054,181.63706005601793,0.040326547954521175,,,,,,
format_length,bfloat16,88.71892521235186,,2.0,64,182.28988068862336,2093,182.19332441233914,0.09655627628421826,2094,182.30271249327322,0.012831804649863443,,,,,,
format_length,bfloat16,88.71892521235186,,2.0,128,182.98302786918327,4165,182.94360949903376,0.03941837014951943,4166,182.99879969971752,0.015771830534248465,,,,,,
ambient_dimension,bfloat16,88.71892521235186,8192,2.0,,,,,,,,,252,184.3719667949228,0.7115401021476941,253,183.46564248515716,0.19874460883403344
format_length,float32,88.72283905206835,,2.0,8,180.2182668263765,268,179.8025091693397,0.41575765703680645,269,180.65064590939733,0.43237908302083383,,,,,,
format_length,float32,88.72283905206835,,2.0,32,181.6045611874964,1053,181.42038979838495,0.18417138911144093,1054,181.63706005601793,0.032498868521543045,,,,,,
format_length,float32,88.72283905206835,,2.0,64,182.29770836805633,2093,182.19332441233914,0.10438395571719639,2094,182.30271249327322,0.005004125216885313,,,,,,
format_length,float32,88.72283905206835,,2.0,128,182.99085554861625,4165,182.94360949903376,0.04724604958249756,4166,182.99879969971752,0.007944151101270336,,,,,,
ambient_dimension,float32,88.72283905206835,8192,2.0,,,,,,,,,252,184.3719667949228,0.703712422714716,253,183.46564248515716,0.20657228826701157
